Hospital Name,Hospital Type ,Address,City,State,Postal Code,Email,Contact ,Rating,Doctor's Name,Facility Type ,Insurance ,Emergency Service,Opening Hours,Latitude,Longtitude,Web site URL
SLG Hospitals,Hospital,"SLG Circle, Krishnaja Hills, Nizampet",Hyderabad,Telanagana,500090,INFO@SLGHOSPITALS.COM,917799235678,4.2,Dr. A Santhosh Kumar,General Physician,No,Yes,24 hours,17.5286303543496,78.3627349720128,https://slghospitals.com/
Pranahitha Hospitals,Hospital,"H.no- 13-3-10/B Hanuman Nagar, Pillar No: A 1555, Chaitanyapuri, Dilsukhnagar",Hyderabad,Telanagana,500036,info@pranahithahospitals.com,918008801192,4.8,Dr. Vinay Kumar,General Physician,No,Yes,24 hours,17.3695118803111,78.5303522733771,https://pranahithahospitals.com/
KIMS Hospitals,Hospital,"Begumpet, 1-8-31/1, Minister Rd, Krishna Nagar, Ramgopalpet, Secunderabad,",Hyderabad,Telanagana,500003,,040 44885000,4.5,Dr. Shiva Raju,General Physician,Yes,Yes,24 hours,17.4367415766855,78.4825293443508,https://www.kimshospitals.com/
Dr. Finy's Clinic,Clinic,"Plot no. 498, Shop 5, Roja Raja Nilayam, Gokul Plots, 9th Phase, K P H B Phase 9, Kukatpally",Hyderabad,Telanagana,500085,contact@drfiny.in,919885000720,4.8,Dr. Fini Philip,General Physician,No,No,10AM to 9PM,17.4890246232724,78.3806830475183,https://www.drfiny.in/
Aditya Hospital,Hospital,"4-1-16, Tilak Rd, Bogulkunta, Abids",Hyderabad,Telanagana,500001,info@adityahospital.com,919100405555,3.5,Dr.K.Raja Shekhar Reddy,General Physician,No,Yes,24 hours,17.3905257356122,78.4812404603661,https://www.adityahospital.com/
Abr Hospitals,Hospital,"Pillar No:28, Uppal Cheruvu Katta Main Road",Hyderabad,Telanagana,500039,abrclinics@gmail.com,919000089954,4.3,Dr. N. Geetha Sree,General Physician,Yes,Yes,24 hours,17.4020242257449,78.5763833111692,https://www.abrhospital.com/index.php
CARE Hospitals Banjara Hills,Hospital,"Road No.1, Banjara Hills",Hyderabad,Telanagana,500004,,914068106589,4.5,Dr. Ajay Rotte,General Physician,Yes,Yes,24 hours,17.4128278641681,78.450211509322,https://www.carehospitals.com/
Mark Hospital,Hospital,"Bandlaguda Jagir, Bandlaguda Jagir-kismatpura",Hyderabad,Telanagana,500086,info@markhospitals.com,918886670280,4.2,Dr. Pulavarthi Bhagyaraj,General Physician,No,Yes,24 hours,17.356001588827,78.388410368839,https://markhospitals.com/
RNC Hospital,Hospital,"plot-6, Manikya Nagar, KMG Garden Road, Near Chintal Bus stop, Chintal, Quthubullapur ",Hyderabad,Telanagana,500037,rnchospitals.com,916305912270,4.5,Dr. G. Navneetha,General Physician,No,Yes,8AM to 5PM,17.4955961243711,78.4523730958295,https://rnchospitals.com/
My Health Hospital,Hospital,"Rd Number 1, Kukatpally Housing Board Colony,Kukatpally",Hyderabad,Telanagana,500072,info@myhealthhospitals.com,919111674111,4.8,Dr.Ch. Srujith,General Physician,No,Yes,24 hours,17.4931719653696,78.4019463804881,https://www.myhealthhospitals.com/index.php
Medics Healthcare,Hospital,"Plot No 1 to 5, LB Nagar",Hyderabad,Telanagana,500074,info@medisyshospitals.com,919133337577,3.9,Dr Shiva Prasad Jagini,General Physician,Yes,Yes,24 hours,17.3414774715401,78.5578589534974,https://www.medisyshospital.com/
Udai Omni Hospitals Pvt Ltd,Hospital,"5-9-92/A/1, Chapel Road, Abids",Hyderabad,Telanagana,500001,info@udaiomni.com,914023232226,4.4,Dr Srirang Abkari,General Physician,Yes,Yes,24 hours,17.3971611587278,78.472422724663,https://udaiomni.com/
Prk Hospitals,Hospital,"Sy No – 360, No – 5/4 – 12-16, NH65, Chanda Nagar,",Hyderabad,Telanagana,500050,enquiries@prkhospitals.com,919154927483,4.2,Dr. S. Shazia Farhana,General Physician,Yes,Yes,24 hours,17.4948882718897,78.3214357093235,https://prkhospitals.com/
Nextgen Hospitals,Hospital,"H.NO 421, MIG 1, Road 4, Kphb Colony, Kukatpally",Hyderabad,Telanagana,500072,nextgenhospitals@gmail.com,919391423050,4.4,Dr. Rajesh Vukkala,General Physician,No,Yes,24 hours,17.4893492094517,78.396048680488,https://nextgenhospitals.com/
Ozone Hospitals,Hospital,"Plot No 23 & 25, Road No 1, Green Hills, Kothapet",Hyderabad,Telanagana,500035,info@ozonehospitals.com,914022108108,4.5,Dr. N Vikram,General Physician,Yes,Yes,24 hours,17.3596959478953,78.5449987823331,https://www.ozonehospitals.com/
Woodlands Hospital,Hospital,"House No 3-4-852, Barkatpura",Hyderabad,Telanagana,500027,woodlandshospital@gmail.com,040 27560423,4.2,Dr G Santosh,General Physician,No,Yes,24 hours,17.3931371724932,78.4976353400044,https://www.woodlandshospital.net/
Delight Hospital,Hospital,"3-18/1/P/2, Puppalaguda, Manikonda",Hyderabad,Telanagana,500089,delighthospitals@gmail.com,916309569696,4.7,Dr.Nitin Kurakula,General Physician,No,Yes,24 hours,17.395892131587,78.362850638157,https://delighthospital.whitecoats.com/
Aware Gleneagles Global Hospitals,Hospital,"Door No 6-1-1070/1 to 4, Lakdi Ka Pool-khairatabad",Hyderabad,Telanagana,500004,queries.lkp@globalhospitalsindia.com,914023491000,4.5,Dr. Haricharan,General Physician,Yes,Yes,24 hours,17.3463488013335,78.540056513578,https://gleneaglesglobalhospitallakdikapul.com/
VR Multispeciality Hospitals,Hospital,"Plot No.3, KS Towers, Ganesh Nagar Colony, Hasmathpet Road, Bowenpally",Hyderabad,Telanagana,500011,support@vrmultispecialityhospitals.com,917288999960,3.6,Dr. Satish Kumar,General Physician,Yes,Yes,24 hours,17.4705315979384,78.4805064246644,https://www.vrmultispecialityhospitals.com/
Care Hospitals Nampally,Hospital,"Exhibition Grounds, Road, Nampally",Hyderabad,Telanagana,500001,,914068106589,4.1,Dr. Ajith Kumar,General Physician,Yes,Yes,24 hours,17.385979011818,78.4741341669922,https://www.carehospitals.com/
Goutam Hospitals,Hospital,"116, Lumbini Enclave, Hitech City Main Road, Gachibowli",Hyderabad,Telanagana,500032,info@goutamneurocare.com,919666219699,4.4,Dr. Alluri Neeraja,General Physician,Yes,Yes,24 hours,17.4925749046465,78.3976743688414,https://goutamneurocare.com/index.php
Kiran Hospital,Hospital,"8-8-112/1,Sri Ram Nagar Colony,Opp.Oyo G7 Hotel, Nagarjuna Sagar Road, Karmanghat",Hyderabad,Telanagana,500035,doctor@kiranhospitals.in,919110702129,4.6,Dr. Neeharika Reddy,General Physician,Yes,Yes,24 hours,17.3453441292153,78.5282080246622,https://www.kiranhospitals.in/
Srikara Hospitals,Hospital,"Street Number 7, Near RTC X Road, beside NABARD, Musheerabad",Hyderabad,Telanagana,500020,info@srikarahospitals.com,040 46460000,4.4,Dr. G. Ajitha,General Physician,Yes,Yes,24 hours,17.4091840189211,78.496203082334,https://srikarahospitals.com/
Ravi Helios Hospital,Hospital,"Ravi Helios Hospital 175, R K Matt Road, Indira Park",Hyderabad,Telanagana,500029,drbvb1966@gmail.com,914066445050,3.8,DR.B.Vijay Bhasker,General Physician,No,Yes,24 hours,17.4112223542474,78.4830881804866,https://www.disablefoundation.com/index.html
METROCARE CLINICS,Clinic,"1-4-56/1/FF, Street Number 8,OPP ICICI Direct, Habsiguda,",Hyderabad,Telanagana,500007,metrocareclinics@gmail.com,918106977774,4.7,Dr. P.Gautam,General Physician,No,No,6AM to 8:30PM,17.4130662355958,78.5450932534987,https://www.metrocareclinics.com/
Rbm Hospitals,Hospital,"House No 1-10/5, Boduppal",Hyderabad,Telanagana,500092,care@rbmhospitals.com,040 2720 8999,3.9,Dr. Srinivas Reddy,General Physician,Yes,Yes,24 hours,17.4188140256047,78.5835028516514,https://www.rbmhospitals.com/index.html
Vivid Imaging & Diagnostics And Polyclinics,Hospital,"4-102, behind Anu Furniture and Tipsy Topsy Bakery, Gangaram, Chanda Nagar",Hyderabad,Telanagana,500050,info@vividdiagnostics.in,919014868655,4.4,Dr. Bommireddy Swetha,General Physician,Yes,Yes,24 hours,17.4946456327749,78.3245596669941,https://www.vividdiagnostics.in/index.html
Medicover Hospitals ,Hospital,"7-1-21, Railway Station Rd, opp. Metro Station Begumpet, Leelanagar, Ameerpet",Hyderabad,Telanagana,500016,info@medicoverhospitals.in,917032969191,4.2,Dr Nandana Jasti,General Physician,Yes,Yes,24 hours,17.4379225988224,78.4562978958285,https://www.medicoverhospitals.in/
Sai Deepa Hospital,Hospital,"PLOT NO.387,church road,HUDA Colony, chandanagar.",Hyderabad,Telanagana,500050,info@saideepahospitals.com,917093762716,4.8,Dr.Kolla Viswateja,General Physician,Yes,Yes,24 hours,17.4932184266771,78.3279492111708,https://saideepahospitals.com/
Dr K Sandeep Reddy Clinic,Clinic,"opposite biodiversity park, Madhura Nagar Colony, Gachibowli,",Hyderabad,Telanagana,500081,drksandeepreddy4@gmail.com,919160483484,5.0,Dr. Sandeep Ready,General Physician,No,No,10AM to 4PM,17.4281344640854,78.375003753499,https://drksandeepreddy.com/
Care Clinic ,Clinic,"Pillar Number 125, Care Clinic, Lane, adjacent to Spencer, opposite IRIS Hospital, Radha Krishna Nagar, Attapur",Hyderabad,Telanagana,500048,,917989676770,5.0,Dr. Raja Ramesh,General Physician,No,No,5PM to 8PM,17.3700014166557,78.4274012958273,https://book.healthplix.com/dr-d-raja-ramesh-md-osm-diabetologist-pillar-no-177-
Dr Paul's Clinic,Clinic,"H.no 8-2-672/S201 2nd floor, opposit karachi bakery, Sufi Chambers, Banjara Hills Rd Number 1, Mithila Nagar, Banjara Hills",Hyderabad,Telanagana,500034,sanj_paul@rediffmail.com,919885986722,5.0,Dr. Sanjoy Paul,General Physician,No,No,8:30AM to 7PM,17.4129266484235,78.449716248227,https://drpaulsclinic.whitecoats.com/
Dr Gautam Gorityala - General Physician,Clinic,"Ground floor, OP - 3, Orange hospitals, Chandrapuri Colony, L. B. Nagar,",Hyderabad,Telanagana,500074,drgautamgorityala@gmail.com,919346176484,5.0,Dr. Gautam Gorityala,General Physician,No,No,11AM to 3PM,17.34527506165,78.5537184669915,https://www.drgautamgorityala.com/
V Care Clinic,Clinic,"Behind Habeeb Nagar PS, Near, Alhamdulillah Hotel Rd, Aghapura, Nampally",Hyderabad,Telanagana,500001,drmohdvaseem@gmail.com,919177901230,4.9,Dr. Mohd Vaseem,General Physician,No,No,6PM to 8PM,17.3896333532678,78.4629900400043,https://book-appointment.healthplix.com/dr-mohd--vaseem-pulmonoligist--chest-physician-aghapura--nampally-hyderabad#
"Dr Imtiaz Ahmed, General Surgeon",Clinic,"M Healthcare, beside Indian bank, Taj Enclave, Khairtabad",Hyderabad,Telanagana,500004,dr_imtiaz21@rediffmail.com,919885128363,3.1,Dr Imtiaz Ahmed,General Physician,No,No,6PM to 8PM,17.409607741606,78.4637019400047,https://drimtiazahmed.in/
Sreejay Multi Specialty Dentist & Implant Centre,Clinic,"Plot No.- 2-2-185/63, Street No.- 12, Amberpet, Hyderabad - 500013 (Opposite Indian Overseas Bank, Near Ayyappa Temple)",Hyderabad,Telangana,500013,,9866194405,4.9,Dr. I. Venkata Krishna,Dentist,Yes,Yes,10AM to 4PM,17.3965484,78.5184261,https://www.justdial.com/Hyderabad/Sreejay-Multi-Specialty-Dental-Clinic-Implant-Centre-Opposite-Indian-Overseas-Bank-Near-Ayyappa-Temple-Amberpet/040PXX40-XX40-140325180325-F1R4_BZDET?ncatid=11273042&area=&search=Best%20Dental%20Hospitals%20in%20Hyderabad%20-%20Book%20Appointment%20Online&mncatname=Dental%20Hospitals&search_id=3fa20e44aaf4e65f137f16c971d1d05f9021264e8fd2da2c60a106e6040293ae&abd_btn=&abd_heading=
Clove Dental,Clinic,"No.573H&I, 2nd Floor, Road No 1, Jubilee Hills, Hyderabad - 500033 (Above Bentley Showroom Parkview Complex, Opposite Kbr Park, Journalists Colony B)",Hyderabad,Telangana,500033,,7947451981,4.7,Dr A Supraja,Dentist,Yes,Yes,10AM to 4PM,17.4178022,78.4136369,https://clovedental.in/
Anandbagh Super Speciality Dentist,Clinic,"House No 23-73/1, R K Nagar, Malkajgiri, Hyderabad - 500047 (Opposite Cinepolis Above Apollo Pharmacy)",Hyderabad,Telangana,500047,,,4.7,Dr. Siva Srinivas,Dentist,Yes,Yes,6PM to 8PM,17.45641,78.53718972,https://www.justdial.com/Hyderabad/Anandbagh-Super-Speciality-Dental-Hospital-Opposite-Cinepolis-Above-Apollo-Pharmacy-Malkajgiri/040P1237798559G1R8N9_BZDET?ncatid=11273042&area=&search=Best%20Dental%20Hospitals%20in%20Hyderabad%20-%20Book%20Appointment%20Online&mncatname=Dental%20Hospitals&search_id=3fa20e44aaf4e65f137f16c971d1d05f9021264e8fd2da2c60a106e6040293ae&abd_btn=&abd_heading=
Sirvi Dental Care & Implant Centre,Clinic,"Plot No 26, Godavari Homes Colony, Suchitra Cross Road, Hyderabad - 500067 (Beside SBI Bank,Opposite Bank Colony)",Hyderabad,Telangana,500067,,,4.5,Dr. Shruthi,Dentist,Yes,Yes,9AM-12PM,17.503995,78.46939306,https://www.justdial.com/Hyderabad/Sirvi-Dental-Care-Implant-Centre-Beside-SBI-BankOpposite-Bank-Colony-Suchitra-Cross-Road/040PXX40-XX40-150407131730-T7X5_BZDET?ncatid=11273042&area=&search=Best%20Dental%20Hospitals%20in%20Hyderabad%20-%20Book%20Appointment%20Online&mncatname=Dental%20Hospitals&search_id=3fa20e44aaf4e65f137f16c971d1d05f9021264e8fd2da2c60a106e6040293ae&abd_btn=&abd_heading=
Siddhartha Multispeciality Dentist & Implant Centre,Dentist,"# 12-13-588/4, St No.20, Nagarjuna Nagar, Tarnaka, Hyderabad - 500007",Hyderabad,Telangana,500007,,9666945166,4.8,Dr. Jyothi Rao,Dentist,Yes,Yes,9AM-12PM,17.4253208,78.5418281,https://siddhartha-multi-speciality-dental-hospital.business.site/
National Dental Care Clinic - Vanasthalipuram,Clinic,"3rd Floor, Vanasthalipuram, Hyderabad - 500070 (Near D Mart)",Hyderabad,Telangana,500070,,9169269369,4.9,,Dentist,Yes,No,6PM to 8PM,17.3364701,78.5729164,https://www.justdial.com/Hyderabad/National-Dental-Care-Clinic-Vanasthalipuram-Near-D-Mart-Vanasthalipuram/040PXX40-XX40-230808210051-J8Y2_BZDET?ncatid=11273042&area=&search=Best%20Dental%20Hospitals%20in%20Hyderabad%20-%20Book%20Appointment%20Online&mncatname=Dental%20Hospitals&search_id=3fa20e44aaf4e65f137f16c971d1d05f9021264e8fd2da2c60a106e6040293ae&abd_btn=&abd_heading=
Smileton Dental,Clinic,"S No.460, Second Floor, Ganapathi Chambers, ECIL, As Rao Nagar, Hyderabad - 500062 (Main Road,Above Danvanthari Medical & Aditya Pharmacy)",Hyderabad,Telangana,500062,,8904956210,5.0,Dr. Praneeth Raj,Dentist,Yes,No,10AM to 4PM,17.47933889,78.55766944,https://smileton-dental-as-rao-nagargar.business.site/
Partha Dental Skin & Hair Clinic,Clinic,"House No. - 7-12, Plot No. - 17, 2nd Floor, Chevella Road, Hyder Shah Kote, Hyderabad - 500091 (Survey No 15/1,Opposite Bata Show Room, Hydershah Kote Village)",Hyderabad,Telangana,500091,,7947375371,4.8,Dr. P.V. Parthasarathi,Dentist,Yes,Yes,9AM-12PM,17.3649773,78.3960208,https://parthadental.com/
Vasan Dental Care,Clinic,"Plot No 86, Sri Bajrang Heights, Chanda Nagar, Hyderabad - 500050 (Beside RS Brothers)",Hyderabad,Telangana,500050,,8197411215,4.0,Dr. Jyosthna G,Dentist,Yes,No,10AM to 4PM,17.49523542,78.33248136,https://www.justdial.com/Hyderabad/Vasan-Dental-Care-Beside-RS-Brothers-Chanda-Nagar/040PXX40-XX40-120813154759-C4S1_BZDET?ncatid=11273042&area=&search=Best%20Dental%20Hospitals%20in%20Hyderabad%20-%20Book%20Appointment%20Online&mncatname=Dental%20Hospitals&search_id=3fa20e44aaf4e65f137f16c971d1d05f9021264e8fd2da2c60a106e6040293ae&abd_btn=&abd_heading=
Sri Datta Dentist,Clinic,"Krishna Tulasi Nilayam, KPHB, KPHB Colony, Hyderabad - 500085 (Near Main Road)",Hyderabad,Telangana,500085,sridattadental@gmail.com,919550029730,5.0,,Dentist,Yes,Yes,9AM-12PM,17.4765089,78.3860672,https://www.sridattadental.com/
The White Dental Specialities,Clinic,"H.no 11-13-1253/2 Ground Floor, Vasavi Colony, Kothapet, Hyderabad - 500035 (Beside Ratnadeep)",Hyderabad,Telangana,500035,,9980919064,5.0,Dr. Yogendher Juvvadi,Dentist,Yes,No,9AM-12PM,17.3641005,78.5473617,https://www.justdial.com/Hyderabad/The-White-Dental-Specialities-Beside-Ratnadeep-Kothapet/040PXX40-XX40-210305112931-D9E4_BZDET?ncatid=11273042&area=&search=Best%20Dental%20Hospitals%20in%20Hyderabad%20-%20Book%20Appointment%20Online&mncatname=Dental%20Hospitals&search_id=985257bbb1298d61fa0a56f96d55273fe7409be9a4c60b2d46f8ce6e255ce11c&abd_btn=&abd_heading=
National Dental Care,Clinic,"1st Floor, Abhi Acrade, Near Forum Mall, Kphb Colony, Hyderabad - 500085 (Beside Anupama Hospital, Above Me and Mom)",Hyderabad,Telangana,500085,hydndc@gmail.com,9169269369,4.7,Dr. Yugandhar,Dentist,Yes,Yes,6PM to 8PM,17.485433,78.39026,https://www.nationaldentalcare.in/
Amit Dental & Implant Center,Clinic,"H.no.16-11-741/C/A/4, SBH Colony Road, Dilsukh Nagar, Hyderabad - 500060 (Beside Lane TMC,Near Ikon Hospital)",Hyderabad,Telangana,500060,,,4.8,,Dentist,Yes,No,10AM to 4PM,17.371047,78.520737,https://www.justdial.com/Hyderabad/Amit-Dental-Implant-Center-Beside-Lane-TMCNear-Ikon-Hospital-Dilsukh-Nagar/040PXX40-XX40-131224180901-Q5T4_BZDET?ncatid=11273042&area=&search=Best%20Dental%20Hospitals%20in%20Hyderabad%20-%20Book%20Appointment%20Online&mncatname=Dental%20Hospitals&search_id=985257bbb1298d61fa0a56f96d55273fe7409be9a4c60b2d46f8ce6e255ce11c&abd_btn=&abd_heading=
Tarnaka Dentist,Clinic,"Door No 12-13-60, Vamshi Complex, Tarnaka, Tarnaka, Hyderabad - 500007 (Beside Suraksha Children Hospital)",Hyderabad,Telangana,500007,,8147100645,4.4,Dr. K U Rao,Dentist,Yes,No,9AM-12PM,17.41620089,78.53865826,https://www.justdial.com/Hyderabad/Tarnaka-Dental-Clinic-Beside-Suraksha-Children-Hospital-Tarnaka/040PNE02715_BZDET?ncatid=11273042&area=&search=Best%20Dental%20Hospitals%20in%20Hyderabad%20-%20Book%20Appointment%20Online&mncatname=Dental%20Hospitals&search_id=985257bbb1298d61fa0a56f96d55273fe7409be9a4c60b2d46f8ce6e255ce11c&abd_btn=&abd_heading=
Rajus Dental,Clinic,"Plot No 805/1, Gopal Nagar Road No 06C, KPHB Colony, Hyderabad - 500085 (Opposite Abhayanjaneya Temple)",Hyderabad,Telangana,500085,rajusdental@gmail.com,8296533305,5.0,Dr. Mohan Raju,Dentist,Yes,No,10AM to 4PM,17.48465833,78.37163611,http://www.rajusdental.com/
National Dental Care,Clinic,"Sri Nagar Colony, Hyderabad - 500073 (Opposite Satya Sai Nigamamam)",Hyderabad,Telangana,500073,hydndc@gmail.com,8792492697,4.9,Dr. Yugandhar,Dentist,Yes,Yes,9AM-12PM,17.43027897,78.43680297,https://www.nationaldentalcare.in/
Partha Dental Skin & Hair Clinic,Clinic,"Door No 7-1-201/2, Preeth Complex, Ameerpet, Hyderabad - 500016 (Above Food World Supermarket, Opposite Mch Sports Complex, Above Haritage Super Market)",Hyderabad,Telangana,500016,,7947197208,4.3,Dr. Amardeep d,Dentist,Yes,No,9AM-12PM,17.438821,78.450636,https://parthadental.com/
Happy Dentist,Clinic,"H No 3-6-530/1, Ground Floor, Street No 7, Himayat Nagar, Hyderabad - 500029 (Lane Opp Minerva Coffee Shop,)",Hyderabad,Telangana,500029,,9035567870,5.0,,Dentist,Yes,No,10AM to 4PM,17.4025116,78.4857857,https://www.justdial.com/Hyderabad/Happy-Dental-Hospital-Lane-Opp-Minerva-Coffee-Shop-Himayat-Nagar/040PXX40-XX40-230331154929-S1T4_BZDET?ncatid=11273042&area=&search=Best%20Dental%20Hospitals%20in%20Hyderabad%20-%20Book%20Appointment%20Online&mncatname=Dental%20Hospitals&search_id=985257bbb1298d61fa0a56f96d55273fe7409be9a4c60b2d46f8ce6e255ce11c&abd_btn=&abd_heading=
Thiruvara Dentist,Clinic,"Door No 8-3-952/10/4, 1st Floor, Srinagar Colony Road, Punjagutta, Hyderabad - 500082 (Behind Big Bazaar)",Hyderabad,Telangana,500082,,9731803187,4.9,,Dentist,Yes,No,6PM to 8PM,17.4298683,78.4489993,https://www.justdial.com/Hyderabad/Thiruvara-Dental-Clinic-Behind-Big-Bazaar-Punjagutta/040P8300963_BZDET?ncatid=11273042&area=&search=Best%20Dental%20Hospitals%20in%20Hyderabad%20-%20Book%20Appointment%20Online&mncatname=Dental%20Hospitals&search_id=985257bbb1298d61fa0a56f96d55273fe7409be9a4c60b2d46f8ce6e255ce11c&abd_btn=&abd_heading=
Siri Dentist,Clinic,"Shop No 8 & 9, Mamata Estate, Allwyn-X-Roads, Miyapur, Hyderabad - 500049 (Beside Axis Bank)",Hyderabad,Telangana,500049,,8197384390,4.5,Dr. Sameer,Dentist,Yes,No,10AM to 4PM,17.4934766,78.3511208,https://www.siridental.in/
